County,Total,Clerical,Conservation,Construction and Infrastructure,Education and Childcare,Health and Nutrition,Recreation,Textiles,Workshop,Other
Adair,9,9,0,0,0,0,0,0,0,0
Adams,13,4,0,4,0,5,0,0,0,0
Allamakee,65,2,0,31,0,0,0,32,0,0
Appanoose,250,13,0,78,7,23,0,62,67,0
Audubon,11,11,0,0,0,0,0,0,0,0
Benton,55,5,0,0,0,0,0,19,31,0
Black Hawk,278,38,0,15,5,0,0,128,92,0
Boone,85,8,0,0,0,0,0,8,69,0
Bremer,11,10,0,0,1,0,0,0,0,0
Buchanan,24,10,0,14,0,0,0,0,0,0
Buena Vista,57,3,0,2,4,0,0,0,48,0
Butler,24,1,0,16,7,0,0,0,0,0
Calhoun,48,7,0,41,0,0,0,0,0,0
Carroll,52,7,0,2,0,0,0,0,43,0
Cass,133,7,0,3,3,2,5,0,113,0
Cerro Gordo,290,30,0,63,9,0,28,75,85,0
Cherokee,102,9,0,18,0,5,0,29,41,0
Chickasaw,33,0,0,28,2,0,0,0,3,0
Clarke,95,14,0,81,0,0,0,0,0,0
Clay,71,1,0,15,0,0,3,52,0,0
Clayton,84,7,0,77,0,0,0,0,0,0
Clinton,134,0,0,0,0,0,0,57,77,0
Crawford,47,14,0,33,0,0,0,0,0,0
Dallas,168,11,0,0,13,6,0,0,138,0
Davis,73,7,0,0,0,0,0,0,66,0
Decatur,118,6,0,23,0,6,0,0,83,0
Delaware,54,13,24,17,0,0,0,0,0,0
Des Moines,257,20,0,0,0,4,0,38,195,0
Dickenson,15,0,0,12,3,0,0,0,0,0
Dubuque,431,0,0,30,0,0,17,217,167,0
Emmet,60,7,0,5,0,0,0,31,17,0
Fayette,114,10,0,101,0,3,0,0,0,0
Floyd,138,10,0,30,20,1,19,41,17,0
Franklin,48,6,0,40,2,0,0,0,0,0
Fremont,75,5,0,61,2,7,0,0,0,0
Greene,60,5,0,55,0,0,0,0,0,0
Hamilton,76,5,0,0,4,0,0,0,67,0
Hancock,16,7,0,0,9,0,0,0,0,0
Hardin,100,6,0,14,0,8,0,0,72,0
Harrison,121,10,0,99,12,0,0,0,0,0
Henry,94,21,0,66,0,7,0,0,0,0
Howard,22,9,0,13,0,0,0,0,0,0
Humboldt,17,3,0,13,1,0,0,0,0,0
Ida,38,0,0,19,16,0,3,0,0,0
Iowa,2,2,0,0,0,0,0,0,0,0
Jackson,63,0,30,0,0,0,0,0,33,0
Jasper,56,15,0,30,8,3,0,0,0,0
Jefferson,125,6,0,107,12,0,0,0,0,0
Johnson,67,2,0,0,0,12,0,0,53,0
Jones,56,0,0,56,0,0,0,0,0,0
Keokuk,58,0,0,0,0,0,0,9,49,0
Kossuth,46,2,0,37,7,0,0,0,0,0
Lee,150,3,0,145,0,2,0,0,0,0
Linn,260,92,0,0,0,0,0,23,145,0
Louisa,32,1,0,31,0,0,0,0,0,0
Lucas,142,33,0,59,0,0,0,0,50,0
Lyon,12,5,0,6,0,1,0,0,0,0
Madison,86,6,0,58,0,0,0,22,0,0
Mahaska,115,2,0,98,0,15,0,0,0,0
Marion,166,14,0,110,2,14,0,26,0,0
Marshall,62,9,0,49,0,4,0,0,0,0
Mills,55,5,0,48,2,0,0,0,0,0
Mitchell,23,5,0,12,6,0,0,0,0,0
Monana,13,6,0,7,0,0,0,0,0,0
Monroe,260,24,0,128,14,2,0,51,41,0
Montgomery,65,9,0,50,6,0,0,0,0,0
Muscatine,153,0,0,30,0,0,0,84,39,0
O'Brien,48,7,0,3,4,6,0,0,28,0
Osceola,55,2,0,2,0,4,0,0,47,0
Page,92,13,0,33,0,4,0,0,42,0
Palo Alto,63,5,0,0,0,0,0,0,58,0
Plymouth,119,2,0,3,0,2,3,45,64,0
Pocahontas,36,4,0,15,0,0,0,17,0,0
Polk,1331,184,0,321,34,29,0,294,377,92
Pottawattamie,390,34,0,133,2,0,0,94,127,0
Poweshiek,100,0,0,0,0,0,0,27,73,0
Ringgold,96,8,0,9,0,0,0,0,79,0
Sac,58,0,0,33,5,3,0,0,17,0
Scott,415,3,0,64,0,0,0,104,244,0
Shelby,39,6,0,0,1,0,0,0,32,0
Sioux,53,4,0,4,4,0,0,0,41,0
Story,85,33,0,38,1,0,0,13,0,0
Tama,70,6,0,0,20,0,0,0,44,0
Taylor,96,7,0,0,1,2,2,31,53,0
Union,58,8,0,15,0,0,0,0,35,0
Van Buren,65,5,0,0,0,0,0,0,60,0
Wapello,370,29,0,87,0,0,0,101,153,0
Warren,2,2,0,0,0,0,0,0,0,0
Washington,46,0,0,46,0,0,0,0,0,0
Wayne,123,11,0,69,3,0,0,40,0,0
Webster,256,29,0,99,2,10,0,0,116,0
Winnebago,93,10,0,83,0,0,0,0,0,0
Winneshiek,51,6,0,45,0,0,0,0,0,0
Woodbury,525,45,0,165,73,6,8,93,135,0
Worth,4,4,0,0,0,0,0,0,0,0
Wright,89,18,0,0,1,0,0,26,44,0
